gene,rna_lfc,rna_p,prot_lfc,prot_p,mut_freq,neglog10p,concordant,transcriptomic,proteomic,genomic,score
FSD1,0.8487714300933349,0.005817680324866141,0.02240986670808809,0.8816367502480663,0.007142857142857143,0.11979865834643606,True,0.8487714300933349,0.02240986670808809,0.11979865834643606,0.43042390731964186
CRMP1,-0.501700674798089,0.003956185918620707,0.0697880817141261,0.4035997021245386,0.007142857142857143,0.11979865834643606,False,0.501700674798089,0.0697880817141261,0.11979865834643606,0.43016061084781465
ZNF644,-0.003078864461192765,0.9628146617079515,-0.14757911542069735,0.08696399976858807,0.02142857142857143,0.7707690936040651,True,0.003078864461192765,0.14757911542069735,0.7707690936040651,0.4298973143759873
PARP1,-0.1362847300967438,0.10467612318368229,-0.3501450674290041,2.086174363653284e-10,0.007142857142857143,0.11979865834643606,True,0.1362847300967438,0.3501450674290041,0.11979865834643606,0.42963401790416
TOB1,0.03175375263760216,0.8996606445538449,-0.6298167611646797,0.03363476908181093,0.007142857142857143,0.11979865834643606,False,0.03175375263760216,0.6298167611646797,0.11979865834643606,0.4293707214323328
ERG,-0.3991448407324061,0.02624483808497452,0.10299966271515615,0.4965892502635731,0.007142857142857143,0.11979865834643606,False,0.3991448407324061,0.10299966271515615,0.11979865834643606,0.4293707214323328
GUCY2F,0.13925737394796722,0.3781657205036236,0.3417572599970704,0.2338989782648223,0.007142857142857143,0.11979865834643606,True,0.13925737394796722,0.3417572599970704,0.11979865834643606,0.4293707214323328
ATL2,0.2719552898135884,0.0005732205138414092,-0.18115344425196156,0.00175157113876435,0.007142857142857143,0.11979865834643606,False,0.2719552898135884,0.18115344425196156,0.11979865834643606,0.4292390731964192
SMARCA4,0.10115309237442283,0.11884590789254133,0.08679928464622222,0.02903713887637732,0.014285714285714285,0.3827710261184941,True,0.10115309237442283,0.08679928464622222,0.3827710261184941,0.4291074249605055
AKT2,-0.1279915432427554,0.02478674628054102,0.36051121831940236,3.601319337069093e-08,0.007142857142857143,0.11979865834643606,False,0.1279915432427554,0.36051121831940236,0.11979865834643606,0.42897577672459186
TRAF3IP3,-0.09431150635180963,0.6691867206106661,0.4375497102872927,0.00015904032224671254,0.007142857142857143,0.11979865834643606,False,0.09431150635180963,0.4375497102872927,0.11979865834643606,0.42858083201685093
ZFYVE19,0.2010258846189945,0.004729873379654314,0.25058126749171805,7.053489282466955e-06,0.007142857142857143,0.11979865834643606,True,0.2010258846189945,0.25058126749171805,0.11979865834643606,0.4284491837809373
TRMT2B,-0.14106378937210096,0.010864353473422085,-0.33575408779343263,0.1191574961356494,0.007142857142857143,0.11979865834643606,True,0.14106378937210096,0.33575408779343263,0.11979865834643606,0.4283175355450236
VCAM1,-0.08320919660591919,0.5265545715662142,0.46534661384217557,8.238744135216246e-09,0.007142857142857143,0.11979865834643606,False,0.08320919660591919,0.46534661384217557,0.11979865834643606,0.4280542390731964
GIGYF2,-0.14420338081709438,0.025437715992882172,-0.3282873885230906,1.1394745498731918e-10,0.007142857142857143,0.11979865834643606,True,0.14420338081709438,0.3282873885230906,0.11979865834643606,0.4280542390731964
CHIT1,0.07364150509384171,0.907255937734522,0.485199581601897,9.278024157089586e-05,0.007142857142857143,0.11979865834643606,True,0.07364150509384171,0.485199581601897,0.11979865834643606,0.4279225908372828
CDC40,-0.23303417734679677,0.00012037727037717977,-0.2148456593016732,4.607742539229554e-10,0.007142857142857143,0.11979865834643606,True,0.23303417734679677,0.2148456593016732,0.11979865834643606,0.4277909426013691
COX7A2L,0.03379113724053795,0.43307128580932236,-0.6139444603380291,6.284424456894041e-12,0.007142857142857143,0.11979865834643606,False,0.03379113724053795,0.6139444603380291,0.11979865834643606,0.42765929436545547
SARS2,-0.06649403196603743,0.42758550058534456,-0.5068460918031228,1.896340093204722e-16,0.007142857142857143,0.11979865834643606,True,0.06649403196603743,0.5068460918031228,0.11979865834643606,0.42752764612954186
TMX2,0.10766178516535696,0.012812260303646973,-0.4039056020643663,8.620031955370479e-06,0.007142857142857143,0.11979865834643606,False,0.10766178516535696,0.4039056020643663,0.11979865834643606,0.42752764612954186
PIK3R6,0.1901263922322407,0.31457483781391427,-0.004777588912510566,0.9829013995388463,0.014285714285714285,0.3827710261184941,False,0.1901263922322407,0.004777588912510566,0.3827710261184941,0.42752764612954186
KLF4,0.0958172462738105,0.6516044643156443,0.4292566389585133,0.0010883890159161197,0.007142857142857143,0.11979865834643606,True,0.0958172462738105,0.4292566389585133,0.11979865834643606,0.42726434965771454
KIF5C,-0.9822070107095175,0.0005731694361255707,-0.0053755442503806705,0.9552557863051446,0.007142857142857143,0.11979865834643606,True,0.9822070107095175,0.0053755442503806705,0.11979865834643606,0.42726434965771454
FEZ2,0.2981913168466459,0.003997050441602765,0.1547705514751918,0.0887166984288234,0.007142857142857143,0.11979865834643606,True,0.2981913168466459,0.1547705514751918,0.11979865834643606,0.42713270142180093
CCT6A,0.3379504910276925,1.4284746289229514e-09,0.13337728670094862,0.015082226331704926,0.007142857142857143,0.11979865834643606,True,0.3379504910276925,0.13337728670094862,0.11979865834643606,0.4270010531858873
SRP54,0.02415344214763948,0.777345856623705,-0.6323762501971437,1.7779509797808764e-09,0.007142857142857143,0.11979865834643606,False,0.02415344214763948,0.6323762501971437,0.11979865834643606,0.4268694049499737
DIXDC1,-0.3825364257082118,0.0004072442020547165,-0.1047711430884668,0.4330259586986098,0.007142857142857143,0.11979865834643606,True,0.3825364257082118,0.1047711430884668,0.11979865834643606,0.42673775671406
SLC45A1,-0.10197988702737515,0.5762583906713862,0.4110731345965597,0.46982116727878154,0.007142857142857143,0.11979865834643606,False,0.10197988702737515,0.4110731345965597,0.11979865834643606,0.42634281200631907
SDHC,0.06495027156130284,0.3109727168796773,-0.5065785334845714,3.1537549476159525e-05,0.007142857142857143,0.11979865834643606,False,0.06495027156130284,0.5065785334845714,0.11979865834643606,0.42634281200631907
SIRPA,-0.16354987894128747,0.07321197288360214,0.294816187939702,8.471637117107923e-05,0.007142857142857143,0.11979865834643606,False,0.16354987894128747,0.294816187939702,0.11979865834643606,0.42621116377040547
MAVS,-0.40639759272271725,1.6303549981324388e-06,-0.09496871695819564,0.024582588988627512,0.007142857142857143,0.11979865834643606,True,0.40639759272271725,0.09496871695819564,0.11979865834643606,0.42621116377040547
RB1,0.23614423201834533,0.0029802442142504103,0.20803957515454385,8.804902491968879e-06,0.007142857142857143,0.11979865834643606,True,0.23614423201834533,0.20803957515454385,0.11979865834643606,0.42607951553449175
BRD4,-0.28428496768166767,0.005728727803696779,0.16057134921033978,9.437717085594309e-07,0.007142857142857143,0.11979865834643606,False,0.28428496768166767,0.16057134921033978,0.11979865834643606,0.4255529225908372
SPTBN2,0.12120822611423421,0.5010506657624176,-0.3656174205082472,3.7311568627823644e-08,0.007142857142857143,0.11979865834643606,False,0.12120822611423421,0.3656174205082472,0.11979865834643606,0.4255529225908372
RASGRP3,-0.3117015566149437,0.005133506411393982,0.1442441438529798,0.6311810135544464,0.007142857142857143,0.11979865834643606,False,0.3117015566149437,0.1442441438529798,0.11979865834643606,0.42528962611901
FASTKD1,0.051355546792022366,0.5270636191435175,-0.5352492922724146,1.4134946984682782e-05,0.007142857142857143,0.11979865834643606,False,0.051355546792022366,0.5352492922724146,0.11979865834643606,0.42476303317535535
TRAF7,0.26666999463451724,0.000794462729759568,0.1744293155637422,0.010346188627788529,0.007142857142857143,0.11979865834643606,True,0.26666999463451724,0.1744293155637422,0.11979865834643606,0.42449973670352814
ARRB1,-0.8030299980556279,3.6843435499666505e-11,0.018369652448189555,0.6721364197019369,0.007142857142857143,0.11979865834643606,False,0.8030299980556279,0.018369652448189555,0.11979865834643606,0.42436808846761453
CASP7,0.27903796197295705,0.0013017620620377128,0.16184473776091934,0.01092671981685972,0.007142857142857143,0.11979865834643606,True,0.27903796197295705,0.16184473776091934,0.11979865834643606,0.42384149552396
PTDSS1,-0.004597500548186417,0.9290871846290583,-0.708450154749098,6.6377357812229775e-09,0.007142857142857143,0.11979865834643606,True,0.004597500548186417,0.708450154749098,0.11979865834643606,0.4237098472880463
BACE2,0.4108026740467121,0.00020001996578859535,0.08886575483224846,0.5696935345451374,0.007142857142857143,0.11979865834643606,True,0.4108026740467121,0.08886575483224846,0.11979865834643606,0.4235781990521327
ABCA1,0.18594258790457374,0.05255389870393015,0.2599956349344197,0.07011320736708881,0.007142857142857143,0.11979865834643606,True,0.18594258790457374,0.2599956349344197,0.11979865834643606,0.42344655081621907
OSBPL1A,-0.16142018569977168,0.05617907411576969,-0.021322164631133234,0.5943545414424966,0.014285714285714285,0.3827710261184941,True,0.16142018569977168,0.021322164631133234,0.3827710261184941,0.42344655081621907
DUSP6,0.8724970333931648,4.429197289729271e-08,-0.010872220623266315,0.9484911664084754,0.007142857142857143,0.11979865834643606,False,0.8724970333931648,0.010872220623266315,0.11979865834643606,0.42344655081621896
PLXNA1,0.5003107952204235,2.2894250344872138e-08,0.06077036521515922,0.29465141515681514,0.007142857142857143,0.11979865834643606,True,0.5003107952204235,0.06077036521515922,0.11979865834643606,0.42331490258030535
YIPF5,0.2506279499478872,0.00428857948885155,0.1861527657188482,0.08587313605424014,0.007142857142857143,0.11979865834643606,True,0.2506279499478872,0.1861527657188482,0.11979865834643606,0.42318325434439175
MIER1,0.2712538079953202,0.01002051324426551,0.16750020756063577,0.001353697191908918,0.007142857142857143,0.11979865834643606,True,0.2712538079953202,0.16750020756063577,0.11979865834643606,0.42305160610847814
ARHGAP25,0.012096631842778649,0.947888113029732,0.6738621530606821,1.1969409513712945e-11,0.007142857142857143,0.11979865834643606,True,0.012096631842778649,0.6738621530606821,0.11979865834643606,0.42305160610847814
KDM1A,0.09069378670779571,0.03836473137365157,-0.08805182202870654,0.0024425841788661942,0.014285714285714285,0.3827710261184941,False,0.09069378670779571,0.08805182202870654,0.3827710261184941,0.42291995787256453
PTGS1,-0.0041942433083175246,0.9765712716086082,0.7050164695933674,4.7932446532147086e-20,0.007142857142857143,0.11979865834643606,False,0.0041942433083175246,0.7050164695933674,0.11979865834643606,0.4229199578725644
WDR59,-0.27413212289320654,0.00025699550743384656,-0.16446879269681247,0.00045941446635279194,0.007142857142857143,0.11979865834643606,True,0.27413212289320654,0.16446879269681247,0.11979865834643606,0.4226566614007372
TTC39B,0.19068109826920576,0.010322033358629804,0.2507740223883985,0.0003954339712042166,0.007142857142857143,0.11979865834643606,True,0.19068109826920576,0.2507740223883985,0.11979865834643606,0.4225250131648236
LRP10,0.28186071383361266,8.681496148689279e-05,0.15733809770188856,0.2243653830812188,0.007142857142857143,0.11979865834643606,True,0.28186071383361266,0.15733809770188856,0.11979865834643606,0.4223933649289099
GFOD1,-0.17539137653640324,0.3119438423553165,0.27008125264173444,0.2869521889848042,0.007142857142857143,0.11979865834643606,False,0.17539137653640324,0.27008125264173444,0.11979865834643606,0.4222617166929963
FLOT2,0.1568605317383458,0.03205171101034964,0.2976218014061409,1.975947311191264e-05,0.007142857142857143,0.11979865834643606,True,0.1568605317383458,0.2976218014061409,0.11979865834643606,0.4221300684570827
EXTL3,-0.32800847928971777,5.755590514393298e-10,0.13042855192914615,0.5851119689171368,0.007142857142857143,0.11979865834643606,False,0.32800847928971777,0.13042855192914615,0.11979865834643606,0.42186677198525535
INTS7,0.10852849906529727,0.05201764186498576,0.06740057094988217,0.1983479825184509,0.014285714285714285,0.3827710261184941,True,0.10852849906529727,0.06740057094988217,0.3827710261184941,0.42160347551342814
JMJD8,-0.14099573411300526,0.04490107248783395,-0.3225684312162649,1.9401188411689865e-05,0.007142857142857143,0.11979865834643606,True,0.14099573411300526,0.3225684312162649,0.11979865834643606,0.42160347551342814
C19orf47,0.12835921178614296,0.03349550380163332,0.3423165573091431,0.001160976066618605,0.007142857142857143,0.11979865834643606,True,0.12835921178614296,0.3423165573091431,0.11979865834643606,0.4214718272775144
BRCA1,0.7227657057362222,5.2518226306189534e-15,-0.022838565211962703,0.9447941538434265,0.007142857142857143,0.11979865834643606,False,0.7227657057362222,0.022838565211962703,0.11979865834643606,0.4213401790416008
TUBGCP5,-0.27615797992283575,0.0006635871563846607,-0.15895944586704047,0.050022438825727114,0.007142857142857143,0.11979865834643606,True,0.27615797992283575,0.15895944586704047,0.11979865834643606,0.4213401790416008
